"","IDs","Slide_18.B.02912_Glo_ROI_1","Slide_18.B.02912_Glo_ROI_2","Slide_18.B.02912_Glo_ROI_3","Slide_18.B.02912_Glo_ROI_4","Slide_18.B.02912_Glo_ROI_5","Z_scores_Slide_18.B.02912_Glo_ROI_1","Z_scores_Slide_18.B.02912_Glo_ROI_2","Z_scores_Slide_18.B.02912_Glo_ROI_3","Z_scores_Slide_18.B.02912_Glo_ROI_4","Z_scores_Slide_18.B.02912_Glo_ROI_5","hclust_clusters"
"CFAD_HUMAN","CFD@CFAD_HUMAN",0.765534746362977,1.20163386116965,1.76553474636298,1.58496250072116,1.37851162325373,-1.49161412131315,-0.357762372239664,1.10837223632055,0.638886861084536,0.102117396147721,5
"CFDP1_HUMAN","CFDP1@CFDP1_HUMAN",5.03121873061072,4.52356195605701,4.37155886261196,5.26303440583379,5.68929916053589,0.1028417410977,-0.838117912856744,-1.11986098293357,0.532520233482404,1.3226169212102,3
"CFAH_HUMAN","CFH@CFAH_HUMAN",4.78135971352466,5.10433665981474,4.95419631038687,4.88264304936184,5.17791779219584,-1.2310978952576,0.769678308438593,-0.160410485205823,-0.603668320169593,1.22549839219441,5
"FHR1_HUMAN","CFHR1@FHR1_HUMAN",4.37155886261196,4.20163386116965,3.36457243229586,4.37155886261196,4.37155886261196,0.537929864383245,0.149592515817372,-1.76338210896711,0.537929864383245,0.537929864383245,3
"FHR2_HUMAN","CFHR2@FHR2_HUMAN",3.10433665981474,2.20163386116965,3.36457243229586,1.58496250072116,2.37851162325373,0.806695736442312,-0.454195313637109,1.17019184714946,-1.31555898770224,-0.207133282252426,2
"FHR3_HUMAN","CFHR3@FHR3_HUMAN",4.24031432933371,4.66106547980695,4.37155886261196,4.56071495447448,3.68929916053589,-0.168816016119527,0.936250898817163,0.175886526770678,0.672688825803934,-1.61601023527224,1
"FHR4_HUMAN","CFHR4@FHR4_HUMAN",2.37851162325373,2.78659636189081,4.10433665981474,3.56071495447448,4.17791779219584,-1.28219854780677,-0.770768885345331,0.880680953307952,0.199390429684294,0.972896050159852,5
"FHR5_HUMAN","CFHR5@FHR5_HUMAN",3.78659636189081,2.78659636189081,2.78659636189081,2.56071495447448,2.37851162325373,1.69863800751679,-0.134174268165741,-0.134174268165741,-0.548172484526835,-0.882116986658475,1
"CFAI_HUMAN","CFI@CFAI_HUMAN",3.95419631038688,4.52356195605701,2.78659636189081,3.88752527074159,3.95419631038688,0.210032452637232,1.1092977718406,-1.6340938102853,0.104731133170243,0.210032452637232,3
"COF1_HUMAN","CFL1@COF1_HUMAN",6.51096191927738,6.28540221886225,5.68929916053589,6.64817779572482,6.12308675098106,0.694750871599211,0.0910448778148611,-1.50441294804002,1.06200640040703,-0.343389201781082,3
"COF2_HUMAN","CFL2@COF2_HUMAN",2.37851162325373,2.78659636189081,2.78659636189081,3.88752527074159,4.37155886261196,-1.02262092838352,-0.539418367270025,-0.539418367270025,0.764163016677993,1.33729464624558,5
"CFLAR_HUMAN","CFLAR@CFLAR_HUMAN",4.37155886261196,5.36806987653208,4.37155886261196,5.14567745519564,4.82781902461732,-0.990548759569711,1.22575481031234,-0.990548759569711,0.73113998876237,0.0242027200647079,3
"PROP_HUMAN","CFP@PROP_HUMAN",2.78659636189081,3.20163386116965,2.78659636189081,3.15380533607904,2.94485844580754,-0.954836637148004,1.15196508725145,-0.954836637148004,0.909179268352009,-0.151471081307449,3
"CFTR_HUMAN","CFTR@CFTR_HUMAN",3.59693514238723,2.20163386116965,3.78659636189081,2.56071495447448,3.95419631038688,0.479280175123779,-1.29494397931819,0.720447814925931,-0.838347000786848,0.933562990055326,2
"GLHA_HUMAN","CGA@GLHA_HUMAN",0.765534746362977,1.20163386116965,1.76553474636298,1.58496250072116,1.37851162325373,-1.49161412131315,-0.357762372239664,1.10837223632055,0.638886861084536,0.102117396147721,5
"CGAS_HUMAN","CGAS@CGAS_HUMAN",2.78659636189081,1.20163386116965,1.76553474636298,2.56071495447448,3.36457243229586,0.527269933482968,-1.32661034462293,-0.667033396025906,0.263063628154356,1.20331017901151,2
"CGB2_HUMAN","CGB2@CGB2_HUMAN",5.48542682717024,4.8972404255748,4.95419631038687,5.46923479366766,4.37155886261196,0.971907222090235,-0.298749541417851,-0.17570796809731,0.936927635977393,-1.43437734855246,1
"CGBP1_HUMAN","CGGBP1@CGBP1_HUMAN",4.37155886261196,4.52356195605701,3.78659636189081,5.02236781302845,4.37155886261196,-0.0987077612508672,0.245655711834281,-1.42394209568059,1.37570190634804,-0.0987077612508672,3
"CING_HUMAN","CGN@CING_HUMAN",3.10433665981474,3.52356195605701,3.36457243229586,3.15380533607904,2.37851162325373,-0.00141274635631428,0.952395032579416,0.590667231580881,0.111136779298441,-1.65278629710242,1
"CGNL1_HUMAN","CGNL1@CGNL1_HUMAN",4.10433665981474,5.19770815795585,3.36457243229586,5.73063995591679,4.53605290024021,-0.522329075733071,0.661725858396432,-1.3234488096711,1.23885863166058,-0.0548066046528454,3
"CGRE1_HUMAN","CGREF1@CGRE1_HUMAN",3.78659636189081,3.78659636189081,4.78135971352466,4.37155886261196,2.37851162325373,-0.037745287963554,-0.037745287963554,1.05603779085969,0.605444958223194,-1.58599217315578,1
"CGRF1_HUMAN","CGRRF1@CGRF1_HUMAN",3.59693514238723,2.20163386116965,4.10433665981474,1.58496250072116,2.37851162325373,0.790297618468177,-0.548488252901331,1.27714729873982,-1.14018190054582,-0.378774763760847,2
"CH25H_HUMAN","CH25H@CH25H_HUMAN",2.37851162325373,2.20163386116965,3.36457243229586,3.88752527074159,3.36457243229586,-0.918776650856781,-1.16468841422132,0.45213594708163,1.17919317091485,0.45213594708163,2
"CHAC1_HUMAN","CHAC1@CHAC1_HUMAN",3.59693514238723,2.78659636189081,2.78659636189081,3.15380533607904,3.68929916053589,0.916160899598978,-0.96672532799345,-0.96672532799345,-0.113486242331291,1.13077599871921,2
"CHAC2_HUMAN","CHAC2@CHAC2_HUMAN",2.37851162325373,1.20163386116965,3.36457243229586,3.56071495447448,2.94485844580754,-0.328837549539376,-1.57103229511296,0.711949858695007,0.918978335469326,0.268941650488007,2
"CHAD_HUMAN","CHAD@CHAD_HUMAN",2.37851162325373,3.52356195605701,4.37155886261196,2.56071495447448,1.37851162325373,-0.405458367244333,0.594994284552337,1.33590560484451,-0.246263788050842,-1.27917773410167,1
"CHADL_HUMAN","CHADL@CHADL_HUMAN",2.37851162325373,3.52356195605701,3.78659636189081,1.58496250072116,2.94485844580754,-0.523183812378968,0.764625976949931,1.06045426768871,-1.41566888402548,0.113772451765808,4
"CAF1A_HUMAN","CHAF1A@CAF1A_HUMAN",2.78659636189081,3.78659636189081,2.78659636189081,1.58496250072116,3.36457243229586,-0.0907828745604641,1.11533847367874,-0.0907828745604641,-1.54009912728429,0.606326402726473,4
