"","IDs","Slide_20.B.00423_Glo_ROI_1","Slide_20.B.00423_Glo_ROI_2","Slide_20.B.00423_Glo_ROI_3","Z_scores_Slide_20.B.00423_Glo_ROI_1","Z_scores_Slide_20.B.00423_Glo_ROI_2","Z_scores_Slide_20.B.00423_Glo_ROI_3","hclust_clusters"
"ACKR1_HUMAN","ACKR1@ACKR1_HUMAN",1.43295940727611,0.584962500721156,2.94485844580754,-0.185125191537842,-0.894501990564495,1.07962718210234,1
"V9GYB7_HUMAN","ACKR2@V9GYB7_HUMAN",3.84799690655495,3.43295940727611,3.53605290024021,1.12136949617109,-0.799217428850132,-0.322152067320961,4
"ACKR3_HUMAN","ACKR3@ACKR3_HUMAN",3.30742852519225,2.67807190511264,3.36457243229586,0.500717793668851,-1.15144783158368,0.650730037914831,1
"ACKR4_HUMAN","ACKR4@ACKR4_HUMAN",1.43295940727611,1.58496250072116,2.70043971814109,-0.68367360110509,-0.464043342746692,1.14771694385178,1
"ACLY_HUMAN","ACLY@ACLY_HUMAN",4.09592441999854,3.92599941855622,3.53605290024021,0.847465053327289,0.255496622844629,-1.10296167617192,3
"ACMSD_HUMAN","ACMSD@ACMSD_HUMAN",3.43295940727611,3.43295940727611,3.82781902461732,-0.577350269189626,-0.577350269189626,1.15470053837925,1
"ACOC_HUMAN","ACO1@ACOC_HUMAN",4.16992500144231,3.97269265400426,3.68929916053589,0.935247745701364,0.11887739792406,-1.05412514362542,3
"ACON_HUMAN","ACO2@ACON_HUMAN",4.49185309632967,4.37155886261196,3.68929916053589,0.710711577506283,0.432785562908408,-1.14349714041469,3
"IRG1_HUMAN","ACOD1@IRG1_HUMAN",3.43295940727611,2.67807190511264,3.16992500144231,0.885503569315625,-1.08455593823347,0.199052368917846,4
"ACOT1_HUMAN","ACOT1@ACOT1_HUMAN",3.30742852519225,2.98185265328974,3.82781902461732,-0.152185110014448,-0.915184282822359,1.06736939283681,1
"ACO11_HUMAN","ACOT11@ACO11_HUMAN",3.16992500144231,3.36457243229586,3.82781902461732,-0.840865388389168,-0.26492053513818,1.10578592352735,1
"ACO12_HUMAN","ACOT12@ACO12_HUMAN",2.84799690655495,2.29278174922785,2.70043971814109,0.814574893557565,-1.11605455033909,0.30147965678152,4
"ACO13_HUMAN","ACOT13@ACO13_HUMAN",4.01792190799726,3.83794324189103,2.70043971814109,0.698719046679075,0.44678353563662,-1.1455025823157,3
"ACOT2_HUMAN","ACOT2@ACOT2_HUMAN",3.54843662469604,3.73335434061383,3.95419631038688,-0.969222673889409,-0.058946899414566,1.02816957330397,2
"ACOT4_HUMAN","ACOT4@ACOT4_HUMAN",2.43295940727611,3.21723071622067,4.37155886261196,-0.930735041139575,-0.126493284346525,1.0572283254861,1
