"","Dim.1","Dim.2"
"ACRBP_HUMAN",0.00879150058950584,0.000431800594123721
"ASPX_HUMAN",0.00880865985356146,0.000405786132362249
"ACBG2_HUMAN",1.75020149530392e-05,0.0137337026845877
"ACSF2_HUMAN",0.00391614194413943,0.0078231333833323
"ACSF3_HUMAN",0.00886684476282449,0.000317574359863894
"ACSL1_HUMAN",0.00279286847394909,0.00952608256828236
"ACSL3_HUMAN",0.00767146504471382,0.00212984089217807
"ACSL4_HUMAN",0.0073592863057845,0.00260312237093348
"ACSL5_HUMAN",0.000873885247602495,0.0124353749249209
"ACSL6_HUMAN",0.00310979430719671,0.00904560421306295
"ACSM1_HUMAN",5.70940472646678e-06,0.0137515809809302
"ACS2A_HUMAN",0.000257304722245904,0.0133701475613067
"ACSM3_HUMAN",0.00891925818097427,0.000238112510111949
"ACSM4_HUMAN",0.00678968381271573,0.00346667352482355
"ACSM5_HUMAN",0.00676014358806033,0.00351145825697946
"ACSM6_HUMAN",0.00583720037005605,0.00491069490109718
"ACS2L_HUMAN",0.00863510679763217,0.000668902855924112
"ACSA_HUMAN",0.00654684669149778,0.00383482899953947
"ACSS3_HUMAN",0.000197853233201866,0.0134602795438546
"ACTS_HUMAN",0.00555321149112761,0.00534123888058252
"ACTA_HUMAN",0.00900728295836006,0.000104661728194058
"ACTC_HUMAN",0.00867519251932606,0.00060813052496606
"ACTH_HUMAN",0.00905885019281323,2.64827431003717e-05
"ACL10_HUMAN",0.00845863357453035,0.000936446726069853
"ACL6A_HUMAN",7.07846624364548e-05,0.0136529230316252
"ACL6B_HUMAN",0.00491854034028644,0.00630343797788083
"ACL7A_HUMAN",0.00132843509844216,0.0117462503986599
"ACL7B_HUMAN",0.00512811659846804,0.00598570794372009
"ACTL8_HUMAN",0.00310114397018326,0.00905871863689429
"ACTL9_HUMAN",4.19601883917652e-07,0.0137596006356967
"ACTN1_HUMAN",0.00901118149075883,9.8751321915321e-05
"ACTN2_HUMAN",0.00018975187696606,0.0134725616802754
"ACTN3_HUMAN",0.00882394679791345,0.000382610218290143
"ACTN4_HUMAN",0.00904475903809887,4.78457691778468e-05
"ARP10_HUMAN",0.00830867954612425,0.0011637859246097
"ACTZ_HUMAN",0.00885895328150195,0.000329538313471784
"ACTY_HUMAN",0.00236785130684594,0.0101704337948678
"ARP2_HUMAN",0.0014031759943397,0.0116329387687416
"ARP3_HUMAN",0.000167672303464871,0.0135060356229044
"ARP3B_HUMAN",0.0090048430623276,0.000108360755252116
"ARP5_HUMAN",0.00850965942483919,0.000859088511440062
"ARP6_HUMAN",0.00592348111857889,0.00477988817034714
"ARP8_HUMAN",0.00827494621570405,0.00121492765373369
"ACTT1_HUMAN",0.00570926359393887,0.00510465463966108
"ACTT2_HUMAN",0.00629484786060355,0.00421687416936528
"ACTT3_HUMAN",0.00686843598597247,0.00334728056058154
"ACVR1_HUMAN",0.00403960814048493,0.00763595130878386
"ACV1B_HUMAN",0.00533810929788141,0.00566734655995959
"ACV1C_HUMAN",0.00804211585553236,0.00156791228535577
"AVR2A_HUMAN",0.00279286847394909,0.00952608256828236
"AVR2B_HUMAN",0.00889939147991535,0.000268231606906958
"ACVL1_HUMAN",0.00661468509618604,0.00373198195557555
"ACY1_HUMAN",0.0039213970318499,0.00781516635876449
"ACY3_HUMAN",0.00861979424309947,0.000692117596548718
"ACYP1_HUMAN",0.00844806358385072,0.00095247145868431
"ACYP2_HUMAN",0.00316369702541812,0.00896388449609466
"ADA_HUMAN",0.00136915951372134,0.0116845097703554
"ADA2_HUMAN",0.00553160626974996,0.00537399367726557
"ADAD1_HUMAN",0.00255528440947561,0.00988627409749534
"ADAD2_HUMAN",0.00379331743839216,0.00800934261688499
"ADAL_HUMAN",0.00903870153420369,5.70293042607058e-05
"ADA10_HUMAN",0.00503590300610743,0.00612550921751444
"ADA11_HUMAN",0.00740265157067926,0.00253737805802364
"ADA12_HUMAN",0.00408152921318241,0.00757239647687788
"ADA15_HUMAN",0.00597215556360004,0.00470609482555924
"ADA17_HUMAN",0.00626893121312935,0.00425616534365565
"ADA18_HUMAN",0.000703782362915928,0.0126932609843019
"ADA19_HUMAN",0.00350262423357581,0.00845005075194727
"ADAM2_HUMAN",0.00512811659846804,0.00598570794372009
"ADA21_HUMAN",0.00906661127354766,1.4716484516181e-05
"ADA22_HUMAN",0.00883219631585562,0.000370103459937351
"ADA23_HUMAN",0.00826123629936565,0.00123571269982781
"A0A384NKT9_HUMAN",0.00871747131258548,0.000544033367477231
"ADA29_HUMAN",0.00888571348529266,0.000288968257787329
"ADA30_HUMAN",0.00752644082793314,0.0023497062039823
"ADA32_HUMAN",0.0067222045730244,0.00356897605335572
"ADA33_HUMAN",0.00887097875648088,0.000311306980357019
"ADAM7_HUMAN",0.00898854765782642,0.000133065554706746
"ADAM8_HUMAN",0.002876950196782,0.00939860969086862
"ADAM9_HUMAN",0.0089142733428803,0.00024566982023683
"ADEC1_HUMAN",0.00239809685720426,0.0101245797471244
"ATS1_HUMAN",0.00870869832897409,0.00055733373082342
"ATS10_HUMAN",0.000258711987626158,0.013368014063547
"ATS12_HUMAN",0.00742329351022356,0.00250608365371728
"ATS13_HUMAN",0.00844763389554097,0.000953122891640208
"ATS14_HUMAN",0.00774966652185884,0.00201128281589462
"ATS15_HUMAN",0.00512811659846804,0.00598570794372009
"ATS16_HUMAN",0.00630260691674596,0.00420511098018279
"ATS18_HUMAN",0.00716245481818019,0.00290153057720178
"ATS19_HUMAN",0.00502754246462728,0.00613818429413381
"ATS2_HUMAN",0.000517730586376009,0.0129753265094171
"ATS20_HUMAN",6.29454010625282e-05,0.0136648078166946
"ATS3_HUMAN",0.000439844082865043,0.0130934070669951
"ATS4_HUMAN",0.00734889481758741,0.00261887648320024
"ATS5_HUMAN",0.00491664248463237,0.00630631523958515
"ATS6_HUMAN",0.00906909308839274,1.09539060526098e-05
"ATS7_HUMAN",0.00874525551121094,0.000501910874905924
"ATS8_HUMAN",0.00898439094635021,0.00013936737577552
"ATS9_HUMAN",0.00904675102862111,4.48257934317049e-05
"ATL1_HUMAN",0.00897241925173809,0.000157517174665332
"ATL2_HUMAN",0.00901997422800234,8.54210108915777e-05
"ATL3_HUMAN",0.00722676611905467,0.00280403083175802
"ATL4_HUMAN",0.00852258352915914,0.000839494802960489
"ATL5_HUMAN",0.00869454519013202,0.000578790728513844
"ADAP1_HUMAN",0.0072430653142191,0.00277932028543332
